order_id,order_temp_id,customer_id,message,order_name01,order_name02,order_kana01,order_kana02,order_email,order_tel01,order_tel02,order_tel03,order_fax01,order_fax02,order_fax03,order_zip01,order_zip02,order_pref,order_addr01,order_addr02,order_sex,order_birth,order_job,subtotal,discount,deliv_id,deliv_fee,charge,use_point,add_point,birth_point,tax,total,payment_total,payment_id,payment_method,note,status,create_date,update_date,commit_date,payment_date,device_type_id,del_flg,memo01,memo02,memo03,memo04,memo05,memo06,memo07,memo08,memo09,memo10
9,506d21f26bbe6WHwX6WZE,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,8665,0,1,0,0,0,825,0,415,8665,8665,3,銀行振込,,1,"2012-10-03 22:43:21.339216","2012-10-03 22:43:21.339216",,,10,0,,,,,,,,,,
2,506ae34b001a8ffyWeMYe,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,1733,0,1,0,0,0,165,0,83,1733,1733,4,代金引換,,7,"2012-10-02 05:51:38.800987","2012-10-02 06:07:31.167014",,,10,0,,,,,,,,,,
1,506a6384497fffaD9uZqT,0,,kakak,kakak,カ,イ,ksksk@gmail.com,080,6586,6589,,,,899,2522,3,八間市,インド,1,,,1733,0,1,1000,0,0,165,0,83,2733,2733,1,郵便振替,,7,"2012-10-01 20:50:04.53861","2012-10-02 06:07:37.935986",,,10,0,,,,,,,,,,
10,506d246abc9bac6FqZmzs,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,10500525,0,2,0,0,0,1000050,0,500025,10500525,10500525,3,銀行振込,,5,"2012-10-03 22:53:52.179351","2012-10-03 23:50:55.617634","2012-10-03 23:50:55.617634",,10,0,,,,,,,,,,
3,506cf6b696f33m9ZR3p79,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,980000,0,1,0,0,0,93000,0,47000,980000,980000,3,銀行振込,,1,"2012-10-03 19:39:22.148015","2012-10-03 19:39:22.148015",,,10,0,,,,,,,,,,
4,506d176bb6eaeQEtkh5Ny,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,2713,0,1,0,0,0,258,0,130,2713,2713,3,銀行振込,,1,"2012-10-03 21:58:29.219651","2012-10-03 21:58:29.219651",,,10,0,,,,,,,,,,
5,506d17e376264DPEn3WTp,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,980,0,1,1000,0,0,93,0,47,1980,1980,4,代金引換,,1,"2012-10-03 22:00:29.132172","2012-10-03 22:00:29.132172",,,10,0,,,,,,,,,,
11,506d679f2a7aezU5UzaMV,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,305,0,1,1000,0,0,29,0,15,1305,1305,3,銀行振込,,1,"2012-10-04 03:40:37.112886","2012-10-04 03:40:37.112886",,,10,0,,,,,,,,,,
6,506d180eabaf1RarmL7q6,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,8820,0,1,0,0,0,837,0,423,8820,8820,4,代金引換,,1,"2012-10-03 22:01:08.930753","2012-10-03 22:01:08.930753",,,10,0,,,,,,,,,,
7,506d184e0eaa7RzX9QVQG,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,9800,0,1,0,0,0,930,0,470,9800,9800,2,現金書留,,1,"2012-10-03 22:02:17.952472","2012-10-03 22:02:17.952472",,,10,0,,,,,,,,,,
8,506d21b1e6885nyCnmyfD,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,8665,0,1,0,0,0,825,0,415,8665,8665,2,現金書留,,1,"2012-10-03 22:42:21.968643","2012-10-03 22:42:21.968643",,,10,0,,,,,,,,,,
12,506d67ce38be8pQSFcQ7h,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,2394,0,1,0,0,0,228,0,114,2394,2394,3,銀行振込,,1,"2012-10-04 03:41:24.194382","2012-10-04 03:41:24.194382",,,10,0,,,,,,,,,,
13,506d73b3966a4YYJtCvB3,1,,nassos,nassos,ナス,ソス,nassos9090@gmail.com,080,6329,7684,,,,532,0026,5,sddadada,sadsad,1,,,305,0,1,1000,0,0,29,0,15,1305,1305,4,代金引換,,1,"2012-10-04 04:32:09.99389","2012-10-04 04:32:09.99389",,,10,0,,,,,,,,,,
